hour,pipe1_Tin_c,pipe1_Tout_c,pipe1_theta_seabed_c,pipe1_Tgas_avg_c,pipe1_chi,pipe1_Z,pipe1_mu_pa_s,pipe1_Re,pipe1_f_darcy,pipe1_limit_kg_h,pipe1_comp_kwh_kg,pipe2_Tin_c,pipe2_Tout_c,pipe2_theta_seabed_c,pipe2_Tgas_avg_c,pipe2_chi,pipe2_Z,pipe2_mu_pa_s,pipe2_Re,pipe2_f_darcy,pipe2_limit_kg_h,pipe2_comp_kwh_kg
0,60,11.7568148350167,11.7568148347422,13.6200438119286,25.8922471449708,1.01922045407917,8.62631005152117e-06,1033196.90109846,0.0126161131078543,300489.156236414,0.136875603751553,60,10.3951111261248,10.3951111260566,12.2112729321155,27.3130338433435,1.01920862912964,8.59657838231e-06,1370017.84489465,0.0119805141719518,537465.574283071,0.136083624657654
1,60,11.7621502585769,11.7621502583024,13.6251731728969,25.8922471449708,1.01922049516429,8.62641816397292e-06,1033183.95233479,0.0126161309170602,300486.25075431,0.136878130315253,60,10.3823606798432,10.382360679775,12.1989893122712,27.3130338433435,1.01920852123899,8.5963187999374e-06,1370059.21521733,0.0119804739515703,537478.073134922,0.136077584895446
2,60,11.7585786440372,11.7585786437627,13.6217394998235,25.8922471449708,1.01922046766285,8.626345791949e-06,1033192.62038677,0.0126161189953347,300488.195719633,0.136876438994363,60,10.3674718058999,10.3674718058316,12.1846455580692,27.3130338433435,1.01920839514793,8.59601567451508e-06,1370107.52827235,0.0119804269837497,537492.669291489,0.136070532201005
3,60,11.7646446612152,11.7646446609407,13.6275712377154,25.8922471449708,1.01922051436743,8.62646870806041e-06,1033177.8987175,0.0126161392430764,300484.892419337,0.136879311528384,60,10.3577355097256,10.3577355096573,12.1752657325906,27.3130338433435,1.01920831263152,8.59581744705574e-06,1370139.12421259,0.0119803962689172,537502.214795886,0.136065920237224
4,60,11.7982361912537,11.7982361909795,13.6598654091337,25.8922471449708,1.01922077267017,8.62714935157812e-06,1033096.38559993,0.0126162513616626,300466.601786149,0.136895218706662,60,10.3615733031152,10.361573303047,12.1789630145522,27.3130338433435,1.01920834516314,8.59589558354813e-06,1370126.66967958,0.0119804083760068,537498.452148594,0.136067738151657
5,60,11.8646446612146,11.8646446609407,13.723709077763,25.8922471449708,1.01922128166889,8.62849482447034e-06,1032935.29108575,0.0126164729811486,300430.451828137,0.136926666590042,60,10.3850000000682,10.385,12.2015320002349,27.3130338433435,1.01920854357902,8.5963725335216e-06,1370050.6513502,0.0119804822772439,537475.485824731,0.136078835114424
6,60,11.9517638092939,11.9517638090205,13.8074635449949,25.8922471449708,1.01922194608759,8.63025966747725e-06,1032724.06121604,0.012616763651567,300383.047063996,0.13696792273102,60,10.4288164635278,10.4288164634596,12.2437442309421,27.3130338433435,1.0192089139328,8.59726455039378e-06,1369908.5005196,0.0119806204857511,537432.538108098,0.136099590624237
7,60,12.0353553393323,12.0353553390593,13.887826636437,25.8922471449708,1.01922258006529,8.63195279286824e-06,1032521.49623777,0.0126170424827736,300337.582288317,0.137007509046476,60,10.4876393202931,10.487639320225,12.3004134325294,27.3130338433435,1.01920940957798,8.59846195836469e-06,1369717.72926703,0.0119808060001585,537374.897263454,0.136127454838264
8,60,12.09142135651,12.0914213562373,13.9417272943527,25.8922471449708,1.01922300334475,8.63308825561433e-06,1032385.69434872,0.0126172294607189,300307.099652834,0.137034060537431,60,10.5511835366083,10.5511835365404,12.3616311326225,27.3130338433435,1.01920994301342,8.59975533413113e-06,1369511.72809036,0.011981006368442,537312.650186405,0.136157555926606
9,60,12.1085604200887,12.1085604198162,13.9582044198818,25.8922471449708,1.01922313242859,8.63343533766017e-06,1032344.19029791,0.0126172866127177,300297.783082667,0.137042177240385,60,10.6073606798429,10.607360679775,12.4157514870157,27.3130338433435,1.01921041288311,8.60089863894576e-06,1369329.68090923,0.0119811834754441,537257.637306519,0.136184167538903
10,60,12.0931851655304,12.0931851652578,13.9434229822476,25.8922471449708,1.01922301663568,8.63312397488025e-06,1032381.42288693,0.0126172353424563,300306.140830513,0.137034895839231,60,10.6460660172458,10.646066017178,12.4530397230588,27.3130338433435,1.01921073567839,8.60168629486976e-06,1369204.29146836,0.0119813054828038,537219.743688128,0.136202502780983
11,60,12.0646446612134,12.0646446609407,13.9159847578583,25.8922471449708,1.01922280138377,8.63254598145814e-06,1032450.54614128,0.012617140165314,300321.656798834,0.137021379711928,60,10.6622644904105,10.6622644903427,12.4686451287064,27.3130338433435,1.01921087054339,8.60201591864938e-06,1369151.82443065,0.011981356539653,537203.887238937,0.136210176260403
