temperature_average_method,Tin_c,pipeline,mean_Tgas_c,mean_Tout_c,mean_capacity_kg_h,mean_compressor_kwh_kg,static_capacity_kg_h
length_average,35,Pipe_A_to_Shore,12.7921589489909,11.9000000001315,300959.210704334,0.136467851763008,300845.148303218
length_average,35,Pipe_B_to_Shore,11.3999122793634,10.5030150283576,538293.006829651,0.135684719516145,538136.240088163
length_average,60,Pipe_A_to_Shore,13.7576989370762,11.9000000002737,300411.241559363,0.136943410433807,300297.783082667
length_average,60,Pipe_B_to_Shore,12.3152261966439,10.503015028392,537359.862807415,0.136134738872024,537203.887238937
length_average,90,Pipe_A_to_Shore,14.9163469227786,11.9000000004444,299757.499919331,0.13751421392208,299644.759087844
length_average,90,Pipe_B_to_Shore,13.4136028973805,10.5030150284332,536246.293232581,0.136674878624131,536091.258246593
endpoint_average,35,Pipe_A_to_Shore,23.4500000000657,11.9000000001315,295066.892517067,0.141722759887813,295010.881233729
endpoint_average,35,Pipe_B_to_Shore,22.7515075141788,10.5030150283576,527043.245895004,0.141272041052261,526966.732046942
endpoint_average,60,Pipe_A_to_Shore,35.9500000001368,11.9000000002737,288566.309839986,0.147901636788933,288513.811333064
endpoint_average,60,Pipe_B_to_Shore,35.251507514196,10.503015028392,515414.686598452,0.147440351566639,515342.982769154
endpoint_average,90,Pipe_A_to_Shore,50.9500000002222,11.9000000004444,281289.22118631,0.155338682972617,281240.474465904
endpoint_average,90,Pipe_B_to_Shore,50.2515075142166,10.5030150284332,502399.220748054,0.154864144469713,502332.652680955
